name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Papua New Guinea,2023-01-18,34,22,27.8,43.6,22,30.9,23.3,78.1,0.5,100,4.17,rain,0,0,42.5,20.1,319.2,1006.4,48.9,13.5,323.4,27.9,10,30,2023-01-18T06:03:23,2023-01-18T18:39:22,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-19,31,23,26.1,36.6,23,27.4,23.5,86.6,4,100,8.33,rain,0,0,55.4,37.1,320.7,1005.4,65.7,13,219.9,19.1,10,30,2023-01-19T06:03:52,2023-01-19T18:39:31,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-20,32,23,26.7,36.8,23,28.3,22.7,80,9,100,4.17,rain,0,0,46.4,203.8,331.1,1005.8,67,13.4,134.5,11.5,8,30,2023-01-20T06:04:20,2023-01-20T18:39:40,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-21,39,24,27.3,45.7,24,29,23.3,81,3,100,4.17,rain,0,0,27.7,27.7,315.6,1006.4,65.5,12.7,176.9,15.5,7,10,2023-01-21T06:04:48,2023-01-21T18:39:47,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"92035099999,AYPY"
Papua New Guinea,2023-01-22,31,23,27.4,37.8,23,30.2,23.5,80.8,0,0,0,rain,0,0,37.1,22.3,139,1005.3,54.4,14,304.4,26.2,10,30,2023-01-22T06:05:15,2023-01-22T18:39:54,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-23,32,24,27.6,39.3,24,30.4,24.3,83.5,1,100,4.17,rain,0,0,18.7,22.3,209.8,1005.1,63.4,13.2,294.2,25.5,10,15,2023-01-23T06:05:42,2023-01-23T18:39:59,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-24,32,24,27.2,40.7,24,30.1,24.7,86.8,1.8,100,8.33,rain,0,0,27.7,18.4,261.8,1005.6,51.4,13.4,297,25.5,10,30,2023-01-24T06:06:08,2023-01-24T18:40:03,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-25,32,24,26,40.7,24,28.3,24.4,91.3,93,100,8.33,rain,0,0,11.9,27.7,308.5,1006.2,59.7,10.6,265.7,23.1,10,30,2023-01-25T06:06:34,2023-01-25T18:40:07,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92035099999,AYPY"
Papua New Guinea,2023-01-26,30,24,25.5,35.2,24,26.5,23.9,91.6,15.2,100,12.5,rain,0,0,9.7,18.4,160.2,1006.2,75.2,12.6,175.1,15,8,10,2023-01-26T06:06:59,2023-01-26T18:40:09,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-27,32,23,27.2,39.3,23,30,23.7,82.4,0,0,0,rain,0,0,18.4,18.4,219.5,1004.5,48.1,14.7,313.7,27.2,10,30,2023-01-27T06:07:24,2023-01-27T18:40:10,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-28,32,25,27.9,39.6,25,31.1,24.4,82.3,0.7,100,4.17,rain,0,0,13.7,37.1,288.6,1004.8,61.5,15.5,291.8,25.2,10,30,2023-01-28T06:07:48,2023-01-28T18:40:11,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-29,32,20.9,27,39.2,20.9,29.6,24.7,86.6,8,100,4.17,rain,0,0,27.7,18.4,273.1,1006.5,69.9,14,307.9,26.7,10,30,2023-01-29T06:08:11,2023-01-29T18:40:10,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-30,33,24,27.6,42.4,24,31.1,24.9,86.2,0,0,0,rain,0,0,27.7,27.7,304.4,1006.7,59,12.2,316,27.3,10,60,2023-01-30T06:08:34,2023-01-30T18:40:08,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,AYPY"
Papua New Guinea,2023-01-31,33,24,27.3,43.9,24,30.1,24,83.3,33,100,4.17,rain,0,0,27.7,18.4,311.7,1006.3,61,16.9,304.1,26.3,10,30,2023-01-31T06:08:56,2023-01-31T18:40:05,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-02-01,32,24,27,40.7,24,29.3,24.2,85.6,4,100,8.33,rain,0,0,18.4,27.7,315.9,1006.6,66.5,14.1,282.1,24.5,10,30,2023-02-01T06:09:17,2023-02-01T18:40:02,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-02-02,32,23.7,27,40.7,23.7,29.4,24,84.7,2.1,100,4.17,rain,0,0,38.2,27.7,309,1005.6,64.3,13.1,250.2,21.5,10,30,2023-02-02T06:09:38,2023-02-02T18:39:57,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-02-03,33,24,27.4,38.1,24,29.6,23.9,82.4,3,100,4.17,rain,0,0,55.4,37.1,315.5,1004.8,64.2,14.3,292.6,25.3,10,30,2023-02-03T06:09:58,2023-02-03T18:39:51,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-02-04,31,24,26.6,37.4,24,28.5,24.1,86.9,9.2,100,8.33,rain,0,0,39.6,27.7,336.9,1005.7,77.8,13.3,116.7,10,4,10,2023-02-04T06:10:18,2023-02-04T18:39:44,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"92035099999,remote,AYPY"
