name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Papua New Guinea,2022-01-18,32,24,27.4,39.3,24,30.2,24.2,84,15,100,4.17,rain,0,0,16.2,27.7,269.7,1006.3,66.4,13.8,292.5,25.3,10,10,2022-01-18T06:03:30,2022-01-18T18:39:24,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-19,28.2,24.8,26,32.8,24.8,27.1,23.8,88.1,10.6,100,8.33,rain,0,0,37.1,27.7,333,1006,90.1,12.9,283.8,24.7,10,30,2022-01-19T06:03:58,2022-01-19T18:39:33,0.54,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-20,31,24,26.7,36.6,24,28.7,24.1,86.5,1.4,100,8.33,rain,0,0,37.1,27.7,336.8,1006,73,12.7,298.2,25.7,10,30,2022-01-20T06:04:27,2022-01-20T18:39:41,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-21,32,24,27.4,36.8,24,29.3,23.2,79.3,2,100,4.17,rain,0,0,37.1,24.1,307.3,1007.3,63.3,13.2,288.3,25,10,10,2022-01-21T06:04:54,2022-01-21T18:39:48,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-22,32,23,26.9,38,23,29.1,23.8,83.7,0.1,100,4.17,rain,0,0,27.7,18.4,308.7,1007.4,61.5,14.8,276.1,23.8,9,10,2022-01-22T06:05:21,2022-01-22T18:39:55,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-23,31,23,26.5,37.8,23,28.5,23.8,85.9,0.2,100,4.17,rain,0,0,37.1,21.1,325.9,1007.3,76.3,13.1,276,23.9,10,30,2022-01-23T06:05:48,2022-01-23T18:40:00,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-24,33,23,27.7,40.7,23,30.4,23.7,80.7,2.3,100,4.17,rain,0,0,27.7,25.9,270.3,1006.8,52.4,13.4,288.4,24.9,10,60,2022-01-24T06:06:14,2022-01-24T18:40:04,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-25,34,24,28.1,40.7,24,31.2,24.4,82.1,0,0,0,,0,0,15.5,27.7,234.3,1007.2,57.7,14.3,277.3,24.1,10,30,2022-01-25T06:06:40,2022-01-25T18:40:07,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-26,33,25,28.4,40.7,25,31.6,24.4,80.4,5,100,4.17,rain,0,0,14,27.7,182.2,1007.8,59.7,13.9,278.2,24,9,30,2022-01-26T06:07:05,2022-01-26T18:40:09,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-27,33,24,27.8,40.7,24,30.5,24,81,0,0,0,rain,0,0,15.5,18.4,323.3,1008.1,66.2,14,289.9,25.1,10,30,2022-01-27T06:07:29,2022-01-27T18:40:10,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-28,33,24,28.2,39.3,24,31.1,23.5,77.3,0,0,0,rain,0,0,11.2,18.4,312.7,1007.4,62.3,14.5,181.7,15.7,6,10,2022-01-28T06:07:53,2022-01-28T18:40:10,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-29,33,24,27.7,39.3,24,30.4,24,81.9,1,100,4.17,rain,0,0,27.7,37.1,307.1,1007.2,76.4,13,259,22.4,9,30,2022-01-29T06:08:16,2022-01-29T18:40:09,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-30,28,24,25.7,32,24,26.4,23.6,88.6,16,100,8.33,rain,0,0,33.1,27.7,335.9,1008,92.7,12.3,160.1,14,7,10,2022-01-30T06:08:39,2022-01-30T18:40:07,0.92,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-31,29.5,23,26.1,34.6,23,27.6,23.1,84.1,24,100,4.17,rain,0,0,45.7,22.3,331.4,1008.5,87.5,14,65.4,5.7,3,10,2022-01-31T06:09:01,2022-01-31T18:40:04,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-01,30,23,24.9,35.2,23,25.6,23,89.9,12,100,4.17,rain,0,0,46.4,37.1,330.7,1008.7,89.9,10,210.6,18.2,9,10,2022-02-01T06:09:22,2022-02-01T18:40:00,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,AYPY"
Papua New Guinea,2022-02-02,26.4,23,24,26.4,23,24,22.5,91.6,16,100,8.33,rain,0,0,51.5,22.3,327,1009.1,85.3,11.2,51.2,4.4,3,10,2022-02-02T06:09:43,2022-02-02T18:39:55,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-03,34,23,27.2,37.4,23,28.8,21.8,74.6,4,100,4.17,rain,0,0,46.4,22.3,318.2,1006.1,69.2,12.9,268.7,23.3,10,10,2022-02-03T06:10:03,2022-02-03T18:39:49,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-04,34,23,27.9,39.3,23,30.2,22.8,75.9,0,0,0,,0,0,37.1,21.1,315,1005.6,58.5,13.8,314.5,27,10,30,2022-02-04T06:10:22,2022-02-04T18:39:42,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,AYPY"
Papua New Guinea,2022-02-05,33,23,27.5,38.1,23,29.6,23.2,79.1,1.5,100,8.33,rain,0,0,46.4,31.7,329.4,1006.4,49.4,13.7,290.9,25.2,10,30,2022-02-05T06:10:41,2022-02-05T18:39:34,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-06,33,24,27.5,37.1,24,29.4,23,77.8,3,100,16.67,rain,0,0,38.2,37.1,315.6,1007.9,61.3,12.8,256.3,22.2,9,30,2022-02-06T06:10:59,2022-02-06T18:39:25,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92035099999,remote,AYPY"
